t;561
e;459
r;323
i;312
n;251
o;220
s;196
l;173
p;155
d;100
c;93
u;81
g;74
m;71
f;64
h;60
Tika;48
x;44
=;42
/;40
